2.98857e-06 0.241904 0.0751649 0.0684699 68.6064 78.9408 0.795867 6.63118
0 1371 6
0.35 0.2864 0.35 0.287
0.35 0.287 0.35 0.287601
0.35 0.287601 0.35 0.288202
0.35 0.288202 0.35 0.288802
0.35 0.288802 0.35 0.289403
0.35 0.289403 0.35 0.290004
0.35 0.290004 0.35 0.290605
0.35 0.290605 0.35 0.291205
0.35 0.291205 0.35 0.291806
0.35 0.291806 0.35 0.292407
0.35 0.292407 0.35 0.293008
0.35 0.293008 0.35 0.293608
0.35 0.293608 0.35 0.294209
0.35 0.294209 0.35 0.29481
0.35 0.29481 0.35 0.295411
0.35 0.295411 0.35 0.296011
0.35 0.296011 0.35 0.296612
0.35 0.296612 0.35 0.297213
0.35 0.297213 0.35 0.297814
0.35 0.297814 0.35 0.298414
0.35 0.298414 0.35 0.299015
0.35 0.299015 0.35 0.299616
0.35 0.299616 0.35 0.300217
0.35 0.300217 0.35 0.300817
0.35 0.300817 0.35 0.301418
0.35 0.301418 0.35 0.302019
0.35 0.302019 0.35 0.302619
0.35 0.302619 0.35 0.30322
0.35 0.30322 0.35 0.303821
0.35 0.303821 0.35 0.304421
0.35 0.304421 0.35 0.305022
0.35 0.305022 0.35 0.305622
0.35 0.305622 0.35 0.306223
0.35 0.306223 0.35 0.306824
0.35 0.306824 0.35 0.307424
0.35 0.307424 0.35 0.308025
0.35 0.308025 0.35 0.308625
0.35 0.308625 0.35 0.309226
0.35 0.309226 0.35 0.309826
0.35 0.309826 0.35 0.310427
0.35 0.310427 0.35 0.311028
0.35 0.311028 0.35 0.311628
0.35 0.311628 0.35 0.312229
0.35 0.312229 0.35 0.312829
0.35 0.312829 0.35 0.31343
0.35 0.31343 0.35 0.31403
0.35 0.31403 0.35 0.314631
0.35 0.314631 0.35 0.315231
0.35 0.315231 0.35 0.315832
0.35 0.315832 0.35 0.316432
0.35 0.316432 0.35 0.317033
0.35 0.317033 0.35 0.317633
0.35 0.317633 0.35 0.318234
0.35 0.318234 0.35 0.318835
0.35 0.318835 0.35 0.319435
0.35 0.319435 0.35 0.320036
0.35 0.320036 0.35 0.320636
0.35 0.320636 0.35 0.321236
